HomeTeam,AwayTeam,HomeGoals,AwayGoals
Everton,Watford,1,0
West Brom,Chelsea,0,1
Bournemouth,Burnley,2,1
Man City,Leicester,2,1
Middlesbrough,Southampton,1,2
Stoke,Arsenal,1,4
Sunderland,Swansea,0,2
Crystal Palace,Hull,4,0
Tottenham,Man United,2,1
West Ham,Liverpool,0,4
Chelsea,Watford,4,3
Arsenal,Sunderland,2,0
Man City,West Brom,3,1
Southampton,Man United,0,0
Leicester,Tottenham,1,6
Arsenal,Everton,3,1
Burnley,West Ham,1,2
Chelsea,Sunderland,5,1
Hull,Tottenham,1,7
Leicester,Bournemouth,1,1
Liverpool,Middlesbrough,3,0
Man United,Crystal Palace,2,0
Southampton,Stoke,0,1
Swansea,West Brom,2,1
Watford,Man City,0,5
